1000, 0.02834, 0.005
2000, 0.01729, 0.005
3000, 0.01415, 0.005
4000, 0.01223, 0.005
5000, 0.01089, 0.005
6000, 0.00949, 0.005
7000, 0.00869, 0.005
8000, 0.00825, 0.005
9000, 0.00767, 0.005
10000, 0.00710, 0.005
11000, 0.01180, 0.02
12000, 0.00937, 0.02
13000, 0.00797, 0.02
14000, 0.00720, 0.02
15000, 0.00668, 0.02
16000, 0.00605, 0.02
17000, 0.00542, 0.02
18000, 0.00544, 0.02
19000, 0.00490, 0.02
20000, 0.00469, 0.02
21000, 0.00468, 0.02
22000, 0.00447, 0.02
23000, 0.00417, 0.02
24000, 0.00391, 0.02
25000, 0.00411, 0.02
26000, 0.00391, 0.02
27000, 0.00362, 0.02
28000, 0.00372, 0.02
29000, 0.00363, 0.02
30000, 0.00338, 0.02
31000, 0.00348, 0.02
32000, 0.00323, 0.02
33000, 0.00326, 0.02
34000, 0.00313, 0.02
35000, 0.00308, 0.02
36000, 0.00311, 0.02
37000, 0.00301, 0.02
38000, 0.00293, 0.02
39000, 0.00302, 0.02
40000, 0.00295, 0.02
41000, 0.00291, 0.02
42000, 0.00284, 0.02
43000, 0.00288, 0.02
44000, 0.00275, 0.02
45000, 0.00281, 0.02
46000, 0.00275, 0.02
47000, 0.00267, 0.02
48000, 0.00262, 0.02
49000, 0.00265, 0.02
50000, 0.00261, 0.02
51000, 0.00269, 0.02
52000, 0.00259, 0.02
53000, 0.00258, 0.02
54000, 0.00266, 0.02
55000, 0.00258, 0.02
56000, 0.00259, 0.02
57000, 0.00250, 0.02
58000, 0.00257, 0.02
59000, 0.00237, 0.02
60000, 0.00237, 0.02
61000, 0.00249, 0.02
62000, 0.00240, 0.02
63000, 0.00245, 0.02
64000, 0.00243, 0.02
65000, 0.00231, 0.02
66000, 0.00232, 0.02
67000, 0.00230, 0.02
68000, 0.00232, 0.02
69000, 0.00221, 0.02
70000, 0.00233, 0.02
71000, 0.00232, 0.02
72000, 0.00226, 0.02
73000, 0.00229, 0.02
74000, 0.00234, 0.02
75000, 0.00222, 0.02
76000, 0.00221, 0.02
77000, 0.00227, 0.02
78000, 0.00226, 0.02
79000, 0.00226, 0.02
80000, 0.00225, 0.02
81000, 0.00209, 0.02
82000, 0.00203, 0.02
83000, 0.00212, 0.02
84000, 0.00229, 0.02
85000, 0.00215, 0.02
86000, 0.00210, 0.02
87000, 0.00213, 0.02
88000, 0.00216, 0.02
89000, 0.00207, 0.02
90000, 0.00206, 0.02
91000, 0.00207, 0.02
92000, 0.00209, 0.02
93000, 0.00211, 0.02
94000, 0.00206, 0.02
95000, 0.00200, 0.02
96000, 0.00199, 0.02
97000, 0.00208, 0.02
98000, 0.00210, 0.02
99000, 0.00203, 0.02
100000, 0.00204, 0.02
